City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,55.96,52,37,6.17,scattered clouds
1,Longyearbyen,SJ,78.2186,15.6401,39.04,70,75,14.97,broken clouds
2,Zaporizhzhya,UA,47.8167,35.1833,58.17,63,83,12.64,broken clouds
3,Iacu,BR,-12.7672,-40.2117,69.84,92,2,3.09,clear sky
4,Puerto Ayora,EC,-0.7393,-90.3518,64.54,97,98,5.01,overcast clouds
5,Airai,TL,-8.9266,125.4092,78.19,46,21,4.81,few clouds
6,Hilo,US,19.7297,-155.09,80.28,100,58,5.01,broken clouds
7,Saskylakh,RU,71.9167,114.0833,27.1,96,100,10.27,light snow
8,Khash,IR,28.2211,61.2158,71.35,4,0,7.56,clear sky
9,Albany,US,42.6001,-73.9662,47.52,80,53,9.31,broken clouds
10,Kapaa,US,22.0752,-159.319,76.1,81,95,1.01,overcast clouds
11,Fuling,CN,29.7022,107.3919,58.51,94,100,1.41,overcast clouds
12,Mar Del Plata,AR,-38.0023,-57.5575,59.09,85,100,12.66,overcast clouds
13,Saint George,US,37.1041,-113.5841,75.25,36,7,4.0,clear sky
14,Buerarema,BR,-14.9594,-39.2997,72.48,88,95,2.77,overcast clouds
15,Makakilo City,US,21.3469,-158.0858,78.57,71,75,4.61,broken clouds
16,Vila Velha,BR,-20.3297,-40.2925,76.95,83,0,8.05,clear sky
17,Avarua,CK,-21.2078,-159.775,75.25,83,20,8.05,few clouds
18,Atar,MR,20.5169,-13.0499,83.52,28,3,4.29,clear sky
19,Atuona,PF,-9.8,-139.0333,76.14,80,29,19.64,light rain
20,Marzuq,YE,14.4,46.4667,81.61,30,46,0.13,scattered clouds
21,Lorengau,PG,-2.0226,147.2712,84.76,67,80,11.32,broken clouds
22,Punta Arenas,CL,-53.15,-70.9167,39.31,75,40,23.02,scattered clouds
23,Hithadhoo,MV,-0.6,73.0833,81.36,76,28,14.32,scattered clouds
24,Hobart,AU,-42.8794,147.3294,55.26,56,75,10.36,broken clouds
25,Dikson,RU,73.5069,80.5464,30.88,93,100,12.84,overcast clouds
26,Bilma,NE,18.6853,12.9164,78.55,26,50,11.05,scattered clouds
27,Tiksi,RU,71.6872,128.8694,23.18,89,92,14.52,overcast clouds
28,Poum,NC,-20.2333,164.0167,77.2,76,35,8.34,scattered clouds
29,Kismayo,SO,-0.3582,42.5454,80.31,72,81,16.62,broken clouds
30,Yellowknife,CA,62.456,-114.3525,39.72,100,40,9.22,scattered clouds
31,Chicama,PE,-7.8447,-79.1469,57.74,85,90,6.08,overcast clouds
32,Orange Cove,US,36.6244,-119.3137,79.61,52,0,3.44,clear sky
33,Ponta Do Sol,PT,32.6667,-17.1,72.23,83,20,6.71,few clouds
34,Mazyr,BY,52.0495,29.2456,46.81,77,15,7.99,few clouds
35,Port Elizabeth,ZA,-33.918,25.5701,64.31,78,95,3.0,overcast clouds
36,Bubaque,GW,11.2833,-15.8333,81.68,77,97,8.88,light rain
37,Cape Town,ZA,-33.9258,18.4232,63.37,78,0,9.22,clear sky
38,Busselton,AU,-33.65,115.3333,62.67,53,31,10.22,scattered clouds
39,Khatanga,RU,71.9667,102.5,26.44,96,100,12.24,light snow
40,Lagoa,PT,39.05,-27.9833,69.69,83,45,9.01,scattered clouds
41,Saint-Pierre,RE,-21.3393,55.4781,78.57,53,0,5.75,clear sky
42,Nizwa,OM,22.9333,57.5333,89.94,14,0,3.42,clear sky
43,Ushuaia,AR,-54.8,-68.3,37.06,87,75,6.91,light intensity drizzle
44,Mahibadhoo,MV,3.7833,72.9667,82.62,71,97,15.86,overcast clouds
45,Provideniya,RU,64.3833,-173.3,33.8,70,86,6.31,overcast clouds
46,Bredasdorp,ZA,-34.5322,20.0403,57.96,73,100,2.04,overcast clouds
47,Hermanus,ZA,-34.4187,19.2345,57.79,66,99,4.18,overcast clouds
48,Laguna,US,38.421,-121.4238,77.18,59,0,0.0,clear sky
49,Ahipara,NZ,-35.1667,173.1667,56.97,71,100,9.6,overcast clouds
50,Rikitea,PF,-23.1203,-134.9692,71.06,69,10,22.24,clear sky
51,Havre-Saint-Pierre,CA,50.2334,-63.5986,44.96,100,100,18.41,overcast clouds
52,Goderich,CA,43.7501,-81.7165,47.91,70,100,13.8,overcast clouds
53,Kruisfontein,ZA,-34.0033,24.7314,61.88,55,88,6.91,overcast clouds
54,San Patricio,US,28.017,-97.5169,78.84,63,100,1.5,overcast clouds
55,Tuktoyaktuk,CA,69.4541,-133.0374,35.6,93,75,10.36,broken clouds
56,Butaritari,KI,3.0707,172.7902,81.14,78,83,11.86,light rain
57,Sao Leopoldo,BR,-29.7603,-51.1472,60.4,90,0,1.01,clear sky
58,Olutanga,PH,7.3106,122.8464,83.95,69,40,4.59,scattered clouds
59,Cabo San Lucas,MX,22.8909,-109.9124,76.6,71,0,4.9,clear sky
60,Sitka,US,57.0531,-135.33,54.59,94,92,1.97,overcast clouds
61,Ayagoz,KZ,47.9714,80.4392,68.77,16,0,12.39,clear sky
62,Saint-Augustin,CA,51.226,-58.6502,42.35,88,100,18.9,overcast clouds
63,Mount Isa,AU,-20.7333,139.5,89.37,31,40,17.27,scattered clouds
64,Barrow,US,71.2906,-156.7887,33.82,80,100,25.32,mist
65,Georgetown,MY,5.4112,100.3354,85.89,78,20,8.05,few clouds
66,Sayla,IN,22.55,71.4667,84.67,62,97,5.77,overcast clouds
67,Coalinga,US,36.1397,-120.3602,79.12,26,0,4.45,clear sky
68,Bluff,NZ,-46.6,168.3333,54.05,66,49,5.12,scattered clouds
69,Bandarbeyla,SO,9.4942,50.8122,84.45,62,16,16.98,few clouds
70,Chapleau,CA,47.8405,-83.4034,30.58,88,44,8.77,scattered clouds
71,Vinh Long,VN,10.25,105.9667,76.98,96,100,6.82,moderate rain
72,Vaini,TO,-21.2,-175.2,75.36,88,75,12.66,broken clouds
73,Ribeira Grande,PT,38.5167,-28.7,70.77,82,16,5.46,few clouds
74,Besikduzu,TR,41.052,39.2284,66.09,78,100,1.59,overcast clouds
75,Nunoa,PE,-14.48,-70.6411,40.53,70,8,1.9,clear sky
76,Byron Bay,AU,-28.65,153.6167,77.94,74,89,15.26,overcast clouds
77,Pangnirtung,CA,66.1451,-65.7125,24.76,82,100,1.54,overcast clouds
78,Mount Gambier,AU,-37.8333,140.7667,54.77,51,49,8.37,scattered clouds
79,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,70,100,16.11,overcast clouds
80,Cody,US,44.5263,-109.0565,47.01,76,0,2.19,clear sky
81,Fare,PF,-16.7,-151.0167,78.12,77,8,17.78,light rain
82,Rocha,UY,-34.4833,-54.3333,57.94,57,28,14.36,scattered clouds
83,Katherine,AU,-14.4667,132.2667,101.08,26,80,5.55,light rain
84,Morondava,MG,-20.2833,44.2833,80.6,68,36,4.52,scattered clouds
85,Carnarvon,AU,-24.8667,113.6333,77.23,39,18,16.17,few clouds
86,Klaksvik,FO,62.2266,-6.589,45.52,74,100,10.49,overcast clouds
87,Taoudenni,ML,22.6783,-3.9836,89.51,19,71,10.74,broken clouds
88,Ostrovnoy,RU,68.0531,39.5131,43.45,91,98,19.28,light rain
89,Pevek,RU,69.7008,170.3133,26.67,64,100,27.51,overcast clouds
90,Nanortalik,GL,60.1432,-45.2371,35.22,84,93,22.5,overcast clouds
91,Namatanai,PG,-3.6667,152.4333,83.84,68,36,11.56,scattered clouds
92,Cidreira,BR,-30.1811,-50.2056,58.17,82,30,7.61,scattered clouds
93,Saint-Philippe,RE,-21.3585,55.7679,76.59,68,27,11.52,scattered clouds
94,Wau,SS,7.7029,27.9953,73.6,86,95,7.0,overcast clouds
95,Tasiilaq,GL,65.6145,-37.6368,28.58,86,100,6.8,overcast clouds
96,Great Falls,US,47.5002,-111.3008,51.67,70,6,2.82,clear sky
97,Urusha,RU,54.05,122.9,37.8,32,47,7.09,scattered clouds
98,Bathsheba,BB,13.2167,-59.5167,81.21,78,40,18.41,scattered clouds
99,Tupik,RU,54.4253,119.9327,37.02,47,75,3.11,broken clouds
100,New Norfolk,AU,-42.7826,147.0587,54.9,66,95,3.0,overcast clouds
101,Guadalupe Y Calvo,MX,26.1,-106.9667,46.27,71,0,5.75,clear sky
102,Playas,EC,-2.6333,-80.3833,69.12,84,100,11.21,overcast clouds
103,Kralendijk,BQ,12.15,-68.2667,83.32,78,79,22.77,broken clouds
104,Kualakapuas,ID,-3.0091,114.3876,86.22,69,100,2.84,light rain
105,East London,ZA,-33.0153,27.9116,63.54,77,0,6.91,clear sky
106,Davidson,US,36.1501,-86.7833,57.51,57,0,13.0,clear sky
107,Victoria,HK,22.2855,114.1577,87.96,69,27,3.0,scattered clouds
108,Coihaique,CL,-45.5752,-72.0662,33.75,80,0,3.44,clear sky
109,Chumikan,RU,54.7183,135.315,38.12,37,82,2.84,broken clouds
110,Inhambane,MZ,-23.865,35.3833,77.0,94,20,7.0,few clouds
111,San Quintin,MX,30.4833,-115.95,69.33,83,83,7.45,broken clouds
112,Vila Do Maio,CV,15.1333,-23.2167,79.59,76,85,9.69,overcast clouds
113,Geraldton,AU,-28.7667,114.6,79.21,24,0,14.97,clear sky
114,Quixeramobim,BR,-5.1992,-39.2928,74.34,86,8,4.56,clear sky
115,Bengkulu,ID,-3.8004,102.2655,80.53,69,100,3.11,overcast clouds
116,Abu Zabad,SD,12.35,29.25,80.78,60,82,9.28,broken clouds
117,Makoshyne,UA,51.46,32.3396,49.08,80,7,4.68,clear sky
118,Kapuskasing,CA,49.4169,-82.4331,32.09,86,100,10.36,overcast clouds
119,Nikolskoye,RU,59.7035,30.7861,48.79,73,73,12.46,broken clouds
120,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.7,82,90,6.35,overcast clouds
121,Torbay,CA,47.6666,-52.7314,50.58,93,100,11.5,overcast clouds
122,Naron,ES,43.5167,-8.1528,62.02,84,77,12.64,broken clouds
123,Ola,RU,59.5833,151.2833,35.15,69,94,1.63,overcast clouds
124,Pelotas,BR,-31.7719,-52.3425,54.16,82,1,5.14,clear sky
125,Abu Kamal,SY,34.4506,40.9171,82.33,35,4,10.42,clear sky
126,El Alto,PE,-4.2714,-81.2147,64.2,79,84,15.73,broken clouds
127,Luang Prabang,LA,19.8856,102.1347,87.76,62,40,4.61,scattered clouds
128,Richards Bay,ZA,-28.783,32.0377,73.13,60,70,4.07,broken clouds
129,Thompson,CA,55.7435,-97.8558,28.56,93,40,0.0,scattered clouds
130,Bethel,US,41.3712,-73.414,53.89,77,84,1.01,broken clouds
131,Bardiyah,LY,31.7561,25.0865,71.35,63,4,6.08,clear sky
132,Kodiak,US,57.79,-152.4072,51.31,100,100,0.0,mist
133,Port Blair,IN,11.6667,92.75,84.24,79,40,5.75,scattered clouds
134,Lompoc,US,34.6391,-120.4579,57.52,96,100,3.44,overcast clouds
135,Campbellsville,US,37.3434,-85.3419,44.71,59,0,6.29,clear sky
136,Sulangan,PH,11.1373,123.7228,84.92,69,100,7.87,overcast clouds
137,Umm Lajj,SA,25.0213,37.2685,86.76,61,3,11.61,clear sky
138,Mahebourg,MU,-20.4081,57.7,76.24,64,40,12.66,scattered clouds
139,Pangody,RU,65.85,74.4859,38.73,98,100,7.38,light rain
140,Kahului,US,20.8947,-156.47,76.96,94,87,7.0,overcast clouds
141,Sao Filipe,CV,14.8961,-24.4956,78.39,82,33,7.2,scattered clouds
142,Hofn,IS,64.2539,-15.2082,40.1,78,100,8.28,overcast clouds
143,Kargopol,RU,61.5071,38.9456,48.72,89,100,10.98,overcast clouds
144,Isangel,VU,-19.55,169.2667,82.51,74,75,11.5,broken clouds
145,Svetlyy,RU,54.675,20.1347,48.25,79,98,11.48,overcast clouds
146,Mackenzie,CA,55.2999,-123.1698,41.22,93,0,2.3,clear sky
147,Bushehr,IR,28.9684,50.8385,86.09,51,0,0.0,clear sky
148,Kamina,CD,-8.7386,24.9906,73.99,62,0,2.37,clear sky
149,Davila,PH,18.4726,120.5763,89.58,66,28,18.21,scattered clouds
150,Clyde River,CA,70.4692,-68.5914,21.43,79,100,10.36,overcast clouds
151,Mayumba,GA,-3.432,10.6554,75.7,86,97,0.76,overcast clouds
152,Oil City,US,41.4339,-79.7064,44.58,94,100,4.61,overcast clouds
153,Saint-Denis,FR,48.9167,2.3333,53.11,91,20,8.05,few clouds
154,Yumen,CN,40.2833,97.2,49.24,14,11,17.83,few clouds
155,Nemuro,JP,43.3236,145.575,53.01,63,55,14.94,broken clouds
156,Cherskiy,RU,68.75,161.3,23.31,82,100,23.62,overcast clouds
157,Shingu,JP,33.7333,135.9833,72.14,54,100,0.4,overcast clouds
158,Biel,CH,47.1324,7.2441,60.73,96,100,0.0,mist
159,San Carlos De Bariloche,AR,-41.1456,-71.3082,33.55,60,20,0.0,few clouds
160,Manokwari,ID,-0.8667,134.0833,84.11,69,77,6.33,broken clouds
161,Talnakh,RU,69.4865,88.3972,33.21,96,100,11.27,light snow
162,Jauharabad,PK,32.2898,72.2813,89.56,35,0,2.82,clear sky
163,Sinjai,ID,-5.1241,120.253,87.21,67,45,9.57,scattered clouds
164,Kedrovyy,RU,56.1667,91.8167,46.87,55,94,7.87,overcast clouds
165,Esperance,AU,-33.8667,121.9,68.83,39,97,4.47,overcast clouds
166,Chokurdakh,RU,70.6333,147.9167,24.12,88,100,22.7,light snow
167,Tazmalt,DZ,36.3868,4.3989,66.36,75,32,5.23,scattered clouds
168,Keffi,NG,8.8486,7.8736,70.39,95,100,0.96,overcast clouds
169,Faanui,PF,-16.4833,-151.75,78.31,77,9,18.41,light rain
170,Shelburne,CA,44.0787,-80.2041,36.36,91,56,6.98,broken clouds
171,Tilichiki,RU,60.4667,166.1,29.7,64,85,10.71,overcast clouds
172,Kaitangata,NZ,-46.2817,169.8464,53.53,69,41,5.46,scattered clouds
173,Yar-Sale,RU,66.8333,70.8333,40.03,92,100,5.68,overcast clouds
174,Cabedelo,BR,-6.9811,-34.8339,74.07,83,1,10.0,clear sky
175,Ukmerge,LT,55.25,24.75,51.67,77,71,13.18,broken clouds
176,Amahai,ID,-3.3333,128.9167,84.25,73,35,6.85,light rain
177,Tongliao,CN,43.6125,122.2653,55.35,72,100,11.14,light rain
178,Khasan,RU,42.4308,130.6434,56.79,56,68,12.66,broken clouds
179,Bosaso,SO,11.2842,49.1816,87.78,51,20,6.91,few clouds
180,Barbosa Ferraz,BR,-24.03,-52.0117,52.7,93,0,2.64,clear sky
181,Walvis Bay,NA,-22.9575,14.5053,56.35,88,100,9.22,overcast clouds
182,Hay River,CA,60.8156,-115.7999,42.78,70,40,3.44,scattered clouds
183,Mangrul Pir,IN,20.3167,77.35,82.0,71,72,10.27,broken clouds
184,Nha Trang,VN,12.25,109.1833,75.2,80,100,6.8,moderate rain
185,Jamestown,US,42.097,-79.2353,43.72,71,75,5.75,broken clouds
186,Abu Samrah,SY,35.3029,37.1841,70.75,52,0,8.93,clear sky
187,Port Alfred,ZA,-33.5906,26.891,65.17,77,88,1.99,overcast clouds
188,Baracoa,CU,20.3467,-74.4958,80.94,81,61,12.62,broken clouds
189,Upernavik,GL,72.7868,-56.1549,16.88,80,100,6.31,overcast clouds
190,Bambanglipuro,ID,-7.95,110.2833,81.61,77,100,6.67,overcast clouds
191,Vanavara,RU,60.34,102.2797,35.74,74,100,10.25,overcast clouds
192,Jumla,NP,29.2747,82.1838,58.08,93,100,4.56,overcast clouds
193,Sorland,NO,67.667,12.6934,44.46,85,100,14.25,light rain
194,Murray Bridge,AU,-35.1167,139.2667,55.13,46,54,13.8,broken clouds
195,Sechura,PE,-5.5569,-80.8222,63.21,84,98,11.54,overcast clouds
196,Baghdad,IQ,33.3406,44.4009,80.51,26,0,0.0,clear sky
197,Nouadhibou,MR,20.931,-17.0347,67.98,94,3,11.5,clear sky
198,Porto Novo,BJ,6.4965,2.6036,76.82,94,95,2.39,light rain
199,Qasigiannguit,GL,68.8193,-51.1922,21.42,90,100,2.55,overcast clouds
200,Tenali,IN,16.2425,80.6398,87.89,81,91,6.24,overcast clouds
201,Camana,PE,-16.6228,-72.7111,58.68,83,7,4.74,clear sky
202,Kirensk,RU,57.7853,108.1119,37.04,63,100,9.8,overcast clouds
203,Vao,NC,-22.6667,167.4833,72.45,83,52,25.75,broken clouds
204,Severo-Kurilsk,RU,50.6789,156.125,44.58,58,98,1.1,overcast clouds
205,Lata,PT,40.1629,-8.3327,61.81,68,26,2.68,scattered clouds
206,Gamba,GA,-2.65,10.0,74.91,88,71,2.57,broken clouds
207,Grindavik,IS,63.8424,-22.4338,43.27,93,100,17.27,light rain
208,Vanimo,PG,-2.6741,141.3028,85.3,70,67,8.48,broken clouds
209,Santa Marta De Tormes,ES,40.9506,-5.6272,54.99,83,65,1.14,broken clouds
210,Dalaba,GN,10.7,-12.25,60.31,94,87,2.46,light rain
211,Norman Wells,CA,65.282,-126.8329,46.18,70,71,5.97,broken clouds
212,Necochea,AR,-38.5473,-58.7368,56.39,86,100,18.23,overcast clouds
213,Birjand,IR,32.8663,59.2211,68.94,3,0,6.8,clear sky
214,Wunsiedel,DE,50.0333,12.0167,52.75,96,100,1.99,overcast clouds
215,Sioux Lookout,CA,50.1001,-91.917,42.87,56,100,10.36,overcast clouds
216,Grootfontein,NA,-19.5667,18.1167,73.18,17,0,7.9,clear sky
217,Gospic,HR,44.5461,15.3747,46.09,73,100,1.5,overcast clouds
218,Meulaboh,ID,4.1363,96.1285,79.95,69,100,1.88,overcast clouds
219,Port-Cartier,CA,50.0334,-66.8654,46.74,99,100,7.2,overcast clouds
220,Lima,PE,-12.0432,-77.0282,57.9,86,54,5.37,broken clouds
